Deni Avdija,WAS,5.2,2.0,8.4,11.6,.536,0.1,
Saddiq Bey,DET,5.4,2.8,16.1,14.0,.529,1.2,
Mikal Bridges,PHO,4.2,2.3,14.2,14.4,.627,2.6,
Kevon Looney,GSW,7.3,2.0,6.0,15.7,.586,1.3,
Dwight Powell,DAL,4.9,1.2,8.7,18.1,.725,1.3,
Alec Burks,NYK,4.9,3.0,11.7,13.7,.559,1.7,
Buddy Hield,TOT,4.4,2.8,15.6,12.9,.548,0.5,
Terance Mann,LAC,5.2,2.6,10.8,13.4,.572,0.8,
Patty Mills,BRK,1.9,2.3,11.4,10.4,.563,0.2,
Chris Boucher,TOR,6.2,0.3,9.4,17.9,.570,0.9,
Miles Bridges,CHO,7.0,3.8,20.2,17.9,.593,2.5,
Dorian Finney-Smith,DAL,4.7,1.9,11.0,12.5,.604,1.9,
Evan Fournier,NYK,2.6,2.1,14.1,12.3,.554,0.7,
Malik Beasley,MIN,2.9,1.5,12.1,11.9,.544,0.7,
Jalen Brunson,DAL,3.9,4.8,16.3,17.1,.583,1.9,
Jordan Clarkson,UTA,3.5,2.5,16.0,14.9,.532,0.7,
Kenyon Martin Jr.,HOU,3.8,1.3,8.8,14.3,.603,0.4,
Duncan Robinson,MIA,2.6,1.6,10.9,10.6,.573,0.7,
Franz Wagner,ORL,4.5,2.9,15.2,14.7,.559,0.8,
Torrey Craig,TOT,4.0,1.2,6.6,11.0,.556,0.1,
Jaren Jackson Jr.,MEM,5.8,1.1,16.3,17.0,.535,1.0,
Herbert Jones,NOP,3.8,2.1,9.5,12.3,.573,0.9,
Immanuel Quickley,NYK,3.2,3.5,11.3,14.6,.543,1.0,
Jae'Sean Tate,HOU,5.4,2.8,11.8,14.3,.567,0.1,
Russell Westbrook,LAL,7.4,7.1,18.5,15.0,.512,0.2,
Harrison Barnes,SAC,5.6,2.4,16.4,15.7,.623,1.4,
Kentavious Caldwell-Pope,WAS,3.4,1.9,13.2,12.6,.568,0.3,
Ayo Dosunmu,CHI,2.8,3.3,8.8,11.2,.596,0.0,
Tyrese Haliburton,TOT,4.0,8.2,15.3,18.2,.595,3.1,
Corey Kispert,WAS,2.7,1.1,8.2,10.9,.586,-0.1,
Royce O'Neale,UTA,4.8,2.5,7.4,10.3,.608,1.7,
Naz Reid,MIN,3.9,0.9,8.3,17.2,.588,0.6,
Grant Williams,BOS,3.6,1.0,7.8,11.2,.635,0.8,
Delon Wright,ATL,2.9,2.4,4.4,13.8,.576,1.6,
Steven Adams,MEM,10.0,3.4,6.9,17.6,.560,2.0,
Desmond Bane,MEM,4.4,2.7,18.2,17.6,.592,2.7,
DeMar DeRozan,CHI,5.2,4.9,27.9,23.1,.590,3.1,
Devonte' Graham,NOP,2.3,4.2,11.9,12.1,.514,0.5,
Malik Monk,LAL,3.4,2.9,13.8,14.4,.597,0.8,
Georges Niang,PHI,2.7,1.3,9.2,10.7,.594,0.0,
Kelly Oubre Jr.,CHO,4.0,1.1,15.0,14.9,.560,0.3,
Jordan Poole,GSW,3.4,4.0,18.5,16.1,.598,1.7,
Jayson Tatum,BOS,8.0,4.4,26.9,21.8,.578,4.8,
Trae Young,ATL,3.7,9.7,28.4,25.4,.603,4.8,
Ivica Zubac,LAC,8.5,1.6,10.3,19.2,.660,1.3,
LaMelo Ball,CHO,6.7,7.6,20.1,19.7,.554,3.3,
